TimeStep,CellID,qw,qo
117550,1224,0.964454,3.03555
117575,1224,0.969385,3.03062
117600,1224,0.974344,3.02566
117625,1224,0.97933,3.02067
117650,1224,0.98434,3.01566
117675,1224,0.989369,3.01063
117700,1224,0.994415,3.00559
117725,1224,0.999474,3.00053
117750,1224,1.00454,2.99546
117775,1224,1.00962,2.99038
117800,1224,1.0147,2.9853
117825,1224,1.01978,2.98022
117850,1224,1.02486,2.97514
117875,1224,1.02993,2.97007
117900,1224,1.03499,2.96501
117925,1224,1.04004,2.95996
117950,1224,1.04507,2.95493
117975,1224,1.05009,2.94991
118000,1224,1.05508,2.94492
118025,1224,1.06005,2.93995
118050,1224,1.065,2.935
118075,1224,1.06991,2.93009
118100,1224,1.0748,2.9252
118125,1224,1.07965,2.92035
118150,1224,1.08447,2.91553
118175,1224,1.08926,2.91074
118200,1224,1.09401,2.90599
118225,1224,1.09872,2.90128
118250,1224,1.10339,2.89661
118275,1224,1.10802,2.89198
118300,1224,1.11261,2.88739
118325,1224,1.11716,2.88284
118350,1224,1.12167,2.87833
118375,1224,1.12614,2.87386
118400,1224,1.13056,2.86944
118425,1224,1.13494,2.86506
118450,1224,1.13928,2.86072
118475,1224,1.14358,2.85642
118500,1224,1.14783,2.85217
118525,1224,1.15204,2.84796
118550,1224,1.15621,2.84379
118575,1224,1.16034,2.83966
118600,1224,1.16442,2.83558
118625,1224,1.16847,2.83153
118650,1224,1.17247,2.82753
118675,1224,1.17643,2.82357
118700,1224,1.18036,2.81964
118725,1224,1.18424,2.81576
118750,1224,1.18809,2.81191
118775,1224,1.1919,2.8081
118800,1224,1.19567,2.80433
118825,1224,1.19941,2.80059
118850,1224,1.20311,2.79689
118875,1224,1.20678,2.79322
118900,1224,1.21041,2.78959
118925,1224,1.21401,2.78599
118950,1224,1.21758,2.78242
118975,1224,1.22111,2.77889
119000,1224,1.22461,2.77539
119025,1224,1.22808,2.77192
119050,1224,1.23152,2.76848
